ticker,name,sector,weight_pct,method
INN,SUMMIT HOTEL PROPERTIES REIT INC,Real Estate,0.02079,none
CBLL,CERIBELL,Health Care,0.02077,fcff
UAMY,UNITED STATES ANTIMONY CORP,Materials,0.02074,fcff
LYTS,LSI INDUSTRIES INC,Industrials,0.02074,fcff
SPT,SPROUT SOCIAL CLASS A,Information Technology,0.02065,fcff
MSBI,MIDLAND STATES BANCORP INC,Financials,0.02062,book
MEI,METHODE ELECTRONICS,Information Technology,0.02058,fcff
TROX,TRONOX HOLDINGS PLC,Materials,0.02058,fcff
CWBC,COMMUNITY WEST BANCSHARES,Financials,0.02058,book
PSTL,POSTAL REALTY TRUST CLASS A,Real Estate,0.02057,none
CCB,COASTAL FINANCIAL CORP,Financials,0.02052,book
CSIQ,CANADIAN SOLAR,Information Technology,0.02049,fcff
ZGN,ERMENEGILDO ZEGNA NV,Consumer Discretionary,0.02047,fcff
CDNL,CARDINAL INFRASTRUCTURE GROUP INC,Industrials,0.02046,fcff
GOOD,GLADSTONE COMMERCIAL REIT CORP,Real Estate,0.02044,none
GSBC,GREAT SOUTHERN BANCORP INC,Financials,0.02037,book
MATW,MATTHEWS INTERNATIONAL CORP CLASS,Consumer Discretionary,0.02029,fcff
CLDT,CHATHAM LODGING TRUST REIT,Real Estate,0.02019,none
OSPN,ONESPAN,Information Technology,0.02018,fcff
MCHB,MECHANICS BANCORP CLASS A,Financials,0.02008,book
CNNE,CANNAE HOLDINGS INC,Financials,0.02003,book
SBGI,SINCLAIR CLASS A,Communication,0.01985,fcff
LXU,LSB INDUSTRIES,Materials,0.01983,fcff
ACHV,ACHIEVE LIFE SCIENCES,Health Care,0.01978,fcff
BOW,BOWHEAD SPECIALTY HOLDINGS,Financials,0.01978,book
LPTH,LIGHTPATH TECHNOLOGIES INC CLASS A,Information Technology,0.01972,fcff
CRMD,CORMEDIX,Health Care,0.01971,fcff
HOV,HOVNANIAN ENTERPRISES CLASS A,Consumer Discretionary,0.01968,fcff
PHR,PHREESIA,Health Care,0.01967,fcff
KRNY,KEARNY FINANCIAL CORP,Financials,0.01967,book
ALT,ALTIMMUNE INC,Health Care,0.01966,fcff
SCHL,SCHOLASTIC,Communication,0.01966,fcff
ASC,ARDMORE SHIPPING CORP,Energy,0.01965,fcff
ALX,ALEXANDERS REIT INC,Real Estate,0.01961,none
AOSL,ALPHA AND OMEGA SEMICONDUCTOR,Information Technology,0.01958,fcff
BXC,BLUELINX HOLDINGS,Industrials,0.01958,fcff
MAMA,MAMAS CREATIONS INC,Consumer Staples,0.01949,fcff
NAVI,NAVIENT,Financials,0.01944,book
WLFC,WILLIS LEASE FINANCE,Industrials,0.01944,fcff
SHEN,SHENANDOAH TELECOMMUNICATIONS,Communication,0.01943,fcff
ACEL,ACCEL ENTERTAINMENT INC CLASS A,Consumer Discretionary,0.01938,fcff
SGMT,SAGIMET BIOSCIENCES SERIES A,Health Care,0.01935,fcff
CIVB,CIVISTA BANCSHARES INC,Financials,0.01934,book
MNTN,MNTN CLASS A,Communication,0.01929,fcff
KODK,EASTMAN KODAK,Information Technology,0.01926,fcff
CRSR,CORSAIR GAMING INC,Information Technology,0.01926,fcff
BWMN,BOWMAN CONSULTING GROUP,Industrials,0.01912,fcff
JBSS,JOHN B SANFILIPPO AND SON,Consumer Staples,0.01912,fcff
SOC,SABLE OFFSHORE CLASS A,Energy,0.01909,fcff
FBIZ,FIRST BUSINESS FINANCIAL SERVICES,Financials,0.01908,book
REPX,RILEY EXPLORATION PERMIAN INC,Energy,0.01908,fcff
AHCO,ADAPTHEALTH,Health Care,0.01903,fcff
EGY,VAALCO ENERGY INC,Energy,0.019,fcff
OPK,OPKO HEALTH,Health Care,0.01899,fcff
ADTN,ADTRAN HOLDINGS INC,Information Technology,0.01899,fcff
PKE,PARK AEROSPACE CORP,Industrials,0.01895,fcff
NRIM,NORTHRIM BANCORP INC,Financials,0.01895,book
ANGO,ANGIODYNAMICS,Health Care,0.01889,fcff
PAYS,PAYSIGN INC,Financials,0.01888,book
GIC,GLOBAL INDUSTRIAL,Industrials,0.01886,fcff
YEXT,YEXT,Information Technology,0.01883,fcff
SFST,SOUTHERN FIRST BANCSHARES INC,Financials,0.01883,book
NB,NIOCORP DEVELOPMENTS,Materials,0.01882,fcff
ALOY,REALLOYS INC,Materials,0.01878,fcff
METC,RAMACO RESOURCES INC CLASS A,Materials,0.01875,fcff
NVRI,ENVIRI CORP,Industrials,0.01871,fcff
ONT,ONTERRIS,Industrials,0.01856,fcff
MMED,MINIMED INC,Health Care,0.01852,fcff
AVLN,AVALYN PHARMA INC,Health Care,0.0185,fcff
CLB,CORE LABORATORIES,Energy,0.01837,fcff
IIIN,INSTEEL INDUSTRIES INC,Industrials,0.01835,fcff
SWBI,SMITH WESSON BRANDS INC,Consumer Discretionary,0.01835,fcff
HBT,HBT FINANCIAL INC,Financials,0.01834,book
BRSP,BRIGHTSPIRE CAPITAL CLASS A,Financials,0.0183,book
FOR,FORESTAR GROUP INC,Real Estate,0.01827,none
VSTM,VERASTEM INC,Health Care,0.01827,fcff
IMMX,IMMIX BIOPHARMA,Health Care,0.01823,fcff
HNRG,HALLADOR ENERGY,Utilities,0.0182,fcff
